compound,gap_pred,gap_std
BeB__s2,4.044225109272447,2.9545864745140302
OF__s2,3.8947528787878793,2.9433787014056545
BeF__s2,5.6533185185185175,2.937089438218264
NF__s2,4.041376038221038,2.9307397274970524
BeC__s2,3.785062103174604,2.8926635249051627
BF__s2,3.426280461020461,2.8652183754691256
FTi__s2,3.407029966949844,2.8437458538213782
CF__s2,3.400809134199134,2.83957790980946
FOs__s2,2.3896689306773435,2.777674723814324
FFe__s2,2.6089239115418894,2.77554190861382
